NAME                                   SERVICE   AVAILABLE   AGE
v1.                                    Local     True        52s
v1.admissionregistration.k8s.io        Local     True        52s
v1.apiextensions.k8s.io                Local     True        52s
v1.apps                                Local     True        52s
v1.authentication.k8s.io               Local     True        52s
v1.authorization.k8s.io                Local     True        52s
v1.autoscaling                         Local     True        52s
v1.batch                               Local     True        52s
v1.certificates.k8s.io                 Local     True        52s
v1.coordination.k8s.io                 Local     True        52s
v1.discovery.k8s.io                    Local     True        52s
v1.events.k8s.io                       Local     True        52s
v1.networking.k8s.io                   Local     True        52s
v1.node.k8s.io                         Local     True        52s
v1.policy                              Local     True        52s
v1.rbac.authorization.k8s.io           Local     True        52s
v1.scheduling.k8s.io                   Local     True        52s
v1.storage.k8s.io                      Local     True        52s
v1beta1.storage.k8s.io                 Local     True        52s
v1beta2.flowcontrol.apiserver.k8s.io   Local     True        52s
v2.autoscaling                         Local     True        52s
